Официальное название,Народное название,Широта,Долгота
памятник Ярославу Мудрому (Ярославль),Мужик с тортом,57.62262163,39.88703433
Монумент Победы на Поклонной горе (Москва),Баба на игле,55.73180232,37.50691866
монумент «Родина-мать» (Киев),Клёпаная мать,51.336919,30.24338743
памятник Ю. А. Гагарину (Москва),Железный дровосек,55.7083575,37.58251226
Монумент героическим защитникам Ленинграда (Санкт-Петербург),Стамеска,60.58113366,30.59494992
скульптура «Тюбингенское панно» (Петрозаводск),Смерть парашютиста,62.46623347,34.46213727
памятник М. В. Исаковскому (Смоленск),Памятник обманутому мужу,55.81930098,32.35276235
статуя «Крылатая» — элемент мемориального комплекса «Борцам за советскую власть» (Могилев),"Оксана, бегущая с «Лавсана»",53.90702748,30.33103893
памятник Ю. А. Гагарину (Москва),Чемоданы спёрли,56.55293669,37.45042014
памятник борцам революции 1905 г. (Иваново),"Вставай, скоро одиннадцать",56.99563863,40.98050223
памятник А. Т. Твардовскому и Василию Тёркину (Смоленск),Третьим будешь?,54.77936429,32.05060733
Мемориал Славы в г. Королеве Московской области,Трое вышли из леса,55.91703228,37.83183502
многофигурная композиция у памятника А. С. Пушкину (Пермь),Как жиды Россию губят,58.0100948,56.25074584
"монумент «Шахтерская слава», Караганда",Как русский казаха обманул,49.80917091,73.08267364
Сибирские просторы,Хорьки крышуют,55.02726811,82.92232902
памятник В. И. Ленину (Псков),"Вова, прячущий зарплату от Надежды Крупской",57.81935538,28.33278136
памятник А. С. Пушкину (Псков),Филипп отваливает от Аллы,57.81425833,28.34600278
Памятник композитору И. С. Ключникову-Палантаю,"Еще четыре, но больше не надо",56.6314517,47.9142741
статуе на въезде в Йошкар-Олу,Бабу с караваем,56.64414934,47.92520087
героям-десантникам в пос. Череха,Парашют,57.74815244,28.37470465
памятник Гагарину,Ботиночки спёрли,55.70833339,37.58249081
Борцам за советскую власть (Донецк),Двое третьего ждут,47.96575093,37.74026849
памятник А. С. Пушкину (Псков),Пушкин с нянечкой тусуется,57.81403351,28.34566124
памятника Н. Г. Чернышевскому в Москве,У мужика где-то часы сп**дили,55.75926615,37.64710723
монумент Славы (Самара),Мужик непьющий,53.2043582,50.11003698
"памятник «Комсомольцам Орловщины, героически погибшим в борьбе за свободу и независимость нашей Родины в 1941–1945»","«Три студента опаздывают на лекцию»/ Ребята со Щепного/ Синева
с Щепного/ Вышли двое из пивбара/ Вышли двое со Щепного",52.94168116,36.04866844
‘Аничков мост (Санкт-Петербург),Мост восемнадцати яиц,59.93336064,30.34340456
скульптура «Раненый командир» (Москва),Двое третьего несут,55.80467588,37.79934856
памятник (Борцам революции 1905 г. ) на площади Революции (Москва),"«Вставай, скоро 11»",56.99638317,40.98074033
«Памятник героям фронта и тыла».,"«Женщина, знай своё место»",57.00661974,40.99167242
памятник Стачке 1905 г. (Ростов-на-Дону),“Двое пьяных ловят машину (до Таганрога)”/ “Сегодня в депо день получки”,47.21336,39.69286167
"скульптура, изображающая обнаженного мальчика с дудочкой-кураем (Уфа)","Всё продай, купи курай",54.76675215,56.02009446
монумента в Сыктывкаре,Бабы жарят крокодила,61.6667776,50.82427651
могилевской скульптуры (Могилёв),"Бегущая/  Оксана, бегущая с «Лавсана»",53.89403883,30.33026671
монумента в честь провозглашения советской власти на Украине (до 2011),«Пятеро Воруют Холодильник»,50.00411646,36.23198943
"студенты-медики (памятник находится недалеко от 1-го Медицинского института, ныне университета)",Обезьянки с черепом,59.9656203,30.3176156
"памятник Ф. М. Достоевскому, поставленный в 1997 г. у Российской государственной библиотеки в Москве","Памятник русскому геморрою/На приеме
у проктолога",55.75209359,37.61001274
мемориал Белгородской области,“Итальянский пехотинец и немецкий панцергренадер взяли в плен советского танкиста”,51.0427312,36.7478862
памятник Ленину в Нижнем Новгороде,"Рабочие/мужики ловят гуся, Народ ловит гуся или Ловя гуся",56.32619947,43.95957272
Огурцу-кормильцу от блогадрных луховчан (Луховицы),Тектоновский пенис ,54.96508745,39.02554164
памятник Ленину в Псковском педуниверситете,"Володя, сдающий курсовик или Ленин, достающий шпаргалку",57.81936576,28.33276919
Шахтерская слава (Караганда),Опять русский казаха обманул,49.80915706,73.08272728
памятник Л.Н. Толстому в Туле,"Лев Толстой идет на Туласпирт, Толстой, идущий за водкой",54.19341429,37.61717147
памятник Николаю I (Санкт-Петербург),"Дурак умного догоняет, да Исаакий мешает",59.93221277,30.30838783
памятник Петру I,"Дурак умного догоняет, да Исаакий мешает",59.9392401,30.33864828
памятник Карлу Марксу (Москва),Пива хочешь?,55.75847211,37.61956929
монумент партизану с вытянутой на ст. метро Белорусская (Москва),Ласковый дедушка,55.77756552,37.58500901
"памятник ""Милосердие"" на воротах Воспитательного дома (Москва)",памятник Злой матери,55.7494352,37.63633535
